study,name,label,label_de,description,description_de
soep-core-preview,0,unspecified,unspecified,,
soep-core-preview,1984,1984,1984,,
soep-core-preview,1985,1985,1985,,
soep-core-preview,1986,1986,1986,,
soep-core-preview,1987,1987,1987,,
soep-core-preview,1988,1988,1988,,
soep-core-preview,1989,1989,1989,,
soep-core-preview,1990,1990,1990,,
soep-core-preview,1991,1991,1991,,
soep-core-preview,1992,1992,1992,,
soep-core-preview,1993,1993,1993,,
soep-core-preview,1994,1994,1994,,
soep-core-preview,1995,1995,1995,,
soep-core-preview,1996,1996,1996,,
soep-core-preview,1997,1997,1997,,
soep-core-preview,1998,1998,1998,,
soep-core-preview,1999,1999,1999,,
soep-core-preview,2000,2000,2000,,
soep-core-preview,2001,2001,2001,,
soep-core-preview,2002,2002,2002,,
soep-core-preview,2003,2003,2003,,
soep-core-preview,2004,2004,2004,,
soep-core-preview,2005,2005,2005,,
soep-core-preview,2006,2006,2006,,
soep-core-preview,2007,2007,2007,,
soep-core-preview,2008,2008,2008,,
soep-core-preview,2009,2009,2009,,
soep-core-preview,2010,2010,2010,,
soep-core-preview,2011,2011,2011,,
soep-core-preview,2012,2012,2012,,
soep-core-preview,2013,2013,2013,,
soep-core-preview,2014,2014,2014,,
soep-core-preview,2015,2015,2015,,
soep-core-preview,2016,2016,2016,,
soep-core-preview,2017,2017,2017,,
soep-core-preview,2018,2018,2018,,
