study,name,label,label_de,description,description_de,analysis_unit,conceptual_dataset,period
soep-is-preview,bip,Data from individual questionnaires 2020,,,,p,raw,2020
soep-core-preview,abroad,Data from questionnaire for individuals moved abroad,,,,p,tl-org/net,0
soep-core-preview,ah,Data from household questionnaire 1984,,,,h,raw-org/net,1984
soep-core-preview,ahbrutto,Gross household data 1984,,,,h,raw-org/gross,1984
soep-core-preview,ahgen,Generated Household Data 1984,,,,h,raw-gen,1984
soep-core-preview,akind,Data on children from household questionnaire 1984,,,,p,raw-org/net,1984
soep-core-preview,ap,Data from individual questionnaires 1984,,,,p,raw-org/net,1984
soep-core-preview,apausl,Migrant specific questions from individual questionnaire 1984,,,,p,raw-org/net,1984
soep-core-preview,apbrutto,Gross individual data 1984,,,,p,raw-org/gross,1984
soep-core-preview,apequiv,Cross-national equivalent file 1984,,,,p,raw-gen,1984
soep-core-preview,apgen,Generated individual data 1984,,,,p,raw-gen,1984
soep-core-preview,apkal,Individual calendar 1984,,,,p,raw-gen,1984
soep-core-preview,artkalen,Spell data from the activity calendar,,,,p,tl-spell,0
soep-core-preview,bah,Data from household questionnaires 2010,,,,h,raw-org/net,2010
soep-core-preview,bahbrutto,Gross household data 2010,,,,h,raw-org/gross,2010
soep-core-preview,bahgen,Generated Household Data 2010,,,,h,raw-gen,2010
soep-core-preview,bajugend,Data from youth questionnaire for 16-17-year-olds 2010,,,,p,raw-org/net,2010
soep-core-preview,bakind,Data on children from household questionnaire 2010,,,,p,raw-org/net,2010
soep-core-preview,bap,Data from individual questionnaires 2010,,,,p,raw-org/net,2010
soep-core-preview,bapbrutto,Gross individual data 2010,,,,p,raw-org/gross,2010
soep-core-preview,bapequiv,Cross-national equivalent file 2010,,,,p,raw-gen,2010
soep-core-preview,bapgen,Generated individual data 2010,,,,p,raw-gen,2010
soep-core-preview,bapkal,Individual calendar 2010,,,,p,raw-gen,2010
soep-core-preview,bapluecke,Data from individual catch-up questionnaire which refers to 2010,,,,p,raw-org/net,2011
soep-core-preview,bavp,Data from deceased individual questionnaire 2010,,,,p,raw-org/net,2010
soep-core-preview,bbh,Data from household questionnaires 2011,,,,h,raw-org/net,2011
soep-core-preview,bbhbrutto,Gross household data 2011,,,,h,raw-org/gross,2011
soep-core-preview,bbhgen,Generated Household Data 2011,,,,h,raw-gen,2011
soep-core-preview,bbjugend,Data from youth questionnaire for 16-17-year-olds 2011,,,,p,raw-org/net,2011
soep-core-preview,bbkind,Data on children from household questionnaire 2011,,,,p,raw-org/net,2011
soep-core-preview,bbp,Data from individual questionnaires 2011,,,,p,raw-org/net,2011
soep-core-preview,bbpbrutto,Gross individual data 2011,,,,p,raw-org/gross,2011
soep-core-preview,bbpequiv,Cross-national equivalent file 2011,,,,p,raw-gen,2011
soep-core-preview,bbpgen,Generated individual data 2011,,,,p,raw-gen,2011
soep-core-preview,bbpkal,Individual calendar 2011,,,,p,raw-gen,2011
soep-core-preview,bbpluecke,Data from individual catch-up questionnaire which refers to 2011,,,,p,raw-org/net,2012
soep-core-preview,bbvp,Data from deceased individual questionnaire 2011,,,,p,raw-org/net,2011
soep-core-preview,bch,Data from household questionnaires 2012,,,,h,raw-org/net,2012
soep-core-preview,bchbrutto,Gross household data 2012,,,,h,raw-org/gross,2012
soep-core-preview,bchgen,Generated Household Data 2012,,,,h,raw-gen,2012
soep-core-preview,bcjugend,Data from youth questionnaire for 16-17-year-olds 2012,,,,p,raw-org/net,2012
soep-core-preview,bckind,Data on children from household questionnaire 2012,,,,p,raw-org/net,2012
soep-core-preview,bcp,Data from individual questionnaires 2012,,,,p,raw-org/net,2012
soep-core-preview,bcpbrutto,Gross individual data 2012,,,,p,raw-org/gross,2012
soep-core-preview,bcpequiv,Cross-national equivalent file 2012,,,,p,raw-gen,2012
soep-core-preview,bcpgen,Generated individual data 2012,,,,p,raw-gen,2012
soep-core-preview,bcpkal,Individual calendar 2012,,,,p,raw-gen,2012
soep-core-preview,bcpluecke,Data from individual catch-up questionnaire which refers to 2012,,,,p,raw-org/net,2013
soep-core-preview,bcvp,Data from deceased individual questionnaire 2012,,,,p,raw-org/net,2012
soep-core-preview,bdh,Data from household questionnaires 2013,,,,h,raw-org/net,2013
soep-core-preview,bdhbrutto,Gross household data 2013,,,,h,raw-org/gross,2013
soep-core-preview,bdhgen,Generated Household Data 2013,,,,h,raw-gen,2013
soep-core-preview,bdjugend,Data from youth questionnaire for 16-17-year-olds 2013,,,,p,raw-org/net,2013
soep-core-preview,bdkind,Data on children from household questionnaire 2013,,,,p,raw-org/net,2013
soep-core-preview,bdp,Data from individual questionnaires 2013,,,,p,raw-org/net,2013
soep-core-preview,bdp_mig,IAB-SOEP Migration Sample: data from individual questionnaire 2013,,,,p,raw-org/net,2013
soep-core-preview,bdpbrutto,Gross individual data 2013,,,,p,raw-org/gross,2013
soep-core-preview,bdpequiv,Cross-national equivalent file 2013,,,,p,raw-gen,2013
soep-core-preview,bdpgen,Generated individual data 2013,,,,p,raw-gen,2013
soep-core-preview,bdpkal,Individual calendar 2013,,,,p,raw-gen,2013
soep-core-preview,bdpluecke,Data from individual catch-up questionnaire which refers to 2013,,,,p,raw-org/net,2014
soep-core-preview,bdvp,Data from deceased individual questionnaire 2013,,,,p,raw-org/net,2013
soep-core-preview,beh,Data from household questionnaires 2014,,,,h,raw-org/net,2014
soep-core-preview,behbrutto,Gross household data 2014,,,,h,raw-org/gross,2014
soep-core-preview,behgen,Generated Household Data 2014,,,,h,raw-gen,2014
soep-core-preview,bejugend,Data from youth questionnaire for 16-17-year-olds 2014,,,,p,raw-org/net,2014
soep-core-preview,bekind,Data on children from household questionnaire 2014,,,,p,raw-org/net,2014
soep-core-preview,bep,Data from individual questionnaires 2014,,,,p,raw-org/net,2014
soep-core-preview,bep_mig,IAB-SOEP Migration Sample: data from individual questionnaire 2014,,,,p,raw-org/net,2014
soep-core-preview,bepbrutto,Gross individual data 2014,,,,p,raw-org/gross,2014
soep-core-preview,bepequiv,Cross-national equivalent file 2014,,,,p,raw-gen,2014
soep-core-preview,bepgen,Generated individual data 2014,,,,p,raw-gen,2014
soep-core-preview,bepkal,Individual calendar 2014,,,,p,raw-gen,2014
soep-core-preview,bepluecke,Data from individual catch-up questionnaire which refers to 2014,,,,p,raw-org/net,2015
soep-core-preview,beschool,Data from pre-teen questionnaire for 11-12-year-olds 2014,,,,p,raw-org/net,2014
soep-core-preview,bevp,Data from deceased individual questionnaire 2014,,,,p,raw-org/net,2014
soep-core-preview,bfh,Data from household questionnaires 2015,,,,h,raw-org/net,2015
soep-core-preview,bfhbrutto,Gross household data 2015,,,,h,raw-org/gross,2015
soep-core-preview,bfhgen,Generated Household Data 2015,,,,h,raw-gen,2015
soep-core-preview,bfjugend,Data from youth questionnaire for 16-17-year-olds 2015,,The questionnaire with refernece to variable names is available as [pdf](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0422.pdf),,p,raw-org/net,2015
soep-core-preview,bfkind,Data on children from household questionnaire 2015,,,,p,raw-org/net,2015
soep-core-preview,bfp,Data from individual questionnaires 2015,,,,p,raw-org/net,2015
soep-core-preview,bfp_mig,IAB-SOEP Migration Sample: data from individual questionnaire 2015,,,,p,raw-org/net,2015
soep-core-preview,bfpbrutto,Gross individual data 2015,,,,p,raw-org/gross,2015
soep-core-preview,bfpequiv,Cross-national equivalent file 2015,,,,p,raw-gen,2015
soep-core-preview,bfpgen,Generated individual data 2015,,,,p,raw-gen,2015
soep-core-preview,bfpkal,Individual calendar 2015,,,,p,raw-gen,2015
soep-core-preview,bfpluecke,Data from individual catch-up questionnaire which refers to 2015,,,,p,raw-org/net,2016
soep-core-preview,bfschool,Data from pre-teen questionnaire for 11-12-year-olds 2015,,,,p,raw-org/net,2015
soep-core-preview,bfvp,Data from deceased individual questionnaire 2015,,,,p,raw-org/net,2015
soep-core-preview,bgh,Data from household questionnaires 2016,,,,h,raw-org/net,2016
soep-core-preview,bgh_refugees,Refugee sample:data from household questionnaire 2016,,,,p,raw-org/net,2016
soep-core-preview,bghbrutto,Gross household data 2016,,,,h,raw-org/gross,2016
soep-core-preview,bghgen,Generated Household Data 2016,,,,h,raw-gen,2016
soep-core-preview,bgjugend,Data from youth questionnaire for 16-17-year-olds 2016,,,,p,raw-org/net,2016
soep-core-preview,bgkind,Data on children from household questionnaire 2016,,,,p,raw-org/net,2016
soep-core-preview,bgp,Data from individual questionnaires 2016,,,,p,raw-org/net,2016
soep-core-preview,bgp_mig,IAB-SOEP Migration Sample: data from individual questionnaire 2016,,,,p,raw-org/net,2016
soep-core-preview,bgp_refugees,Refugee sample:data from individual/biographical questionnaire 2016,,,,p,raw-org/net,2016
soep-core-preview,bgpbrutto,Gross individual data 2016,,,,p,raw-org/gross,2016
