study,name,label,label_de,description,description_de,analysis_unit,conceptual_dataset,period
soep-core-preview,bgpequiv,Cross-national equivalent file 2016,,,,p,raw-gen,2016
soep-core-preview,bgpgen,Generated individual data 2016,,,,p,raw-gen,2016
soep-core-preview,bgpkal,Individual calendar 2016,,,,p,raw-gen,2016
soep-core-preview,bgpluecke,Data from individual catch-up questionnaire which refers to 2016,,,,p,raw-org/net,2017
soep-core-preview,bgschool,Data from pre-teen questionnaire for 11-12-year-olds 2016,,,,p,raw-org/net,2016
soep-core-preview,bgschool2,Data from early youth questionnaire for 13-14-year-olds 2016,,,,p,raw-org/net,2016
soep-core-preview,bgvp,Data from deceased individual questionnaire 2016,,,,p,raw-org/net,2016
soep-core-preview,bh,Data from household questionnaires 1985,,,,h,raw-org/net,1985
soep-core-preview,bhbrutto,Gross household data 1985,,,,h,raw-org/gross,1985
soep-core-preview,bhgen,Generated Household Data 1985,,,,h,raw-gen,1985
soep-core-preview,bhh,Data from household questionnaires 2017,,,,h,raw-org/net,2017
soep-core-preview,bhhbrutto,Gross household data 2017,,,,h,raw-org/gross,2017
soep-core-preview,bhhgen,Generated Household Data 2017,,,,h,raw-gen,2017
soep-core-preview,bhjugend,Data from youth questionnaire for 16-17-year-olds 2017,,,,p,raw-org/net,2017
soep-core-preview,bhkind,Data on children from household questionnaire 2017,,,,p,raw-org/net,2017
soep-core-preview,bhp,Data from individual questionnaires 2017,,,,p,raw-org/net,2017
soep-core-preview,bhpbrutto,Gross individual data 2017,,,,p,raw-org/gross,2017
soep-core-preview,bhpequiv,Cross-national equivalent file 2017,,,,p,raw-gen,2017
soep-core-preview,bhpgen,Generated individual data 2017,,,,p,raw-gen,2017
soep-core-preview,bhpkal,Individual calendar 2017,,,,p,raw-gen,2017
soep-core-preview,bhpluecke,Data from individual catch-up questionnaire which refers to 2017,,,,p,raw-org/net,2018
soep-core-preview,bhschool,Data from pre-teen questionnaire for 11-12-year-olds 2017,,,,p,raw-org/net,2017
soep-core-preview,bhschool2,Data from early youth questionnaire for 13-14-year-olds 2017,,,,p,raw-org/net,2017
soep-core-preview,bhvp,Data from deceased individual questionnaire 2017,,,,p,raw-org/net,2017
soep-core-preview,bih,Data from household questionnaires 2018,,,,h,raw-org/net,2018
soep-core-preview,bihbrutto,Gross household data 2018,,,,h,raw-org/gross,2018
soep-core-preview,bihgen,Generated Household Data 2018,,,,h,raw-gen,2018
soep-core-preview,bijugend,Data from youth questionnaire for 16-17-year-olds 2018,,,,p,raw-org/net,2018
soep-core-preview,bikind,Data on children from household questionnaire 2018,,,,p,raw-org/net,2018
soep-core-preview,bioage17,Generated biographical information,,,,p,tl-gen,0
soep-core-preview,bioagel,Generated biographical information,,,,p,tl-gen,0
soep-core-preview,biobirth,Generated biographical information,,,,p,tl-gen,0
soep-core-preview,biocouplm,Generated biographical information,,,,p,tl-spell,0
soep-core-preview,biocouply,Generated biographical information,,,,p,tl-spell,0
soep-core-preview,bioedu,Generated biographical information,,,,p,tl-gen,0
soep-core-preview,bioimmig,Generated biographical information,,,,p,tl-gen,0
soep-core-preview,biojob,Generated biographical information,,,,p,tl-gen,0
soep-core-preview,biol,Data from biography questionnaire (long),,Contains cumulated individual-level data from the biographical questionnaire. It is keyed on PID (Person ID) and SYEAR (Survey Year),,p,tl-org/net,0
soep-core-preview,biomarsm,Generated biographical information,,,,p,tl-spell,0
soep-core-preview,biomarsy,Generated biographical information,,,,p,tl-spell,0
soep-core-preview,bioparen,Generated biographical information,,,,p,tl-gen,0
soep-core-preview,biopupil,Generated biographical information,,,,p,tl-gen/bio,0
soep-core-preview,bioresid,Generated biographical information,,,,p,tl-gen,0
soep-core-preview,biosib,Generated biographical information,,,,p,tl-gen,0
soep-core-preview,biosoc,Generated biographical information,,,,p,tl-gen,0
soep-core-preview,biotwin,Generated biographical information,,,,p,tl-gen,0
soep-core-preview,bip,Data from individual questionnaires 2018,,,,p,raw-org/net,2018
soep-core-preview,bipbrutto,Gross individual data 2018,,,,p,raw-org/gross,2018
soep-core-preview,bipequiv,Cross-national equivalent file 2018,,,,p,raw-gen,2018
soep-core-preview,bipgen,Generated individual data 2018,,,,p,raw-gen,2018
soep-core-preview,bipkal,Individual calendar 2018,,,,p,raw-gen,2018
soep-core-preview,bipluecke,Data from individual catch-up questionnaire which refers to 2018,,,,p,raw-org/net,2019
soep-core-preview,bischool,Data from pre-teen questionnaire for 11-12-year-olds 2018,,,,p,raw-org/net,2018
soep-core-preview,bischool2,Data from early youth questionnaire for 13-14-year-olds 2018,,,,p,raw-org/net,2018
soep-core-preview,bivp,Data from deceased individual questionnaire 2018,,,,p,raw-org/net,2018
soep-core-preview,bjh,Data from household questionnaires 2019,,,,h,raw-org/net,2019
soep-core-preview,bjhbrutto,Gross household data 2019,,,,h,raw-org/gross,2019
soep-core-preview,bjhgen,Generated Household Data 2019,,,,h,raw-gen,2019
soep-core-preview,bjjugend,Data from youth questionnaire for 16-17-year-olds 2019,,,,p,raw-org/net,2019
soep-core-preview,bjkind,Data on children from household questionnaire 2019,,,,p,raw-org/net,2019
soep-core-preview,bjp,Data from individual questionnaires 2019,,,,p,raw-org/net,2019
soep-core-preview,bjpbrutto,Gross individual data 2019,,,,p,raw-org/gross,2019
soep-core-preview,bjpgen,Generated individual data 2019,,,,p,raw-gen,2019
soep-core-preview,bjpkal,Individual calendar 2019,,,,p,raw-gen,2019
soep-core-preview,bjschool,Data from pre-teen questionnaire for 11-12-year-olds 2019,,,,p,raw-org/net,2019
soep-core-preview,bjschool2,Data from early youth questionnaire for 13-14-year-olds 2019,,,,p,raw-org/net,2019
soep-core-preview,bjvp,Data from deceased individual questionnaire 2019,,,,p,raw-org/net,2019
soep-core-preview,bkind,Data on children from household questionnaire 1985,,,,p,raw-org/net,1985
soep-core-preview,bp,Data from individual questionnaires 1985,,,,p,raw-org/net,1985
soep-core-preview,bpausl,Migrant specific questions from individual questionnaire 1985,,,,p,raw-org/net,1985
soep-core-preview,bpbrutto,Gross individual data 1985,,,,p,raw-org/gross,1985
soep-core-preview,bpequiv,Cross-national equivalent file 1985,,,,p,raw-gen,1985
soep-core-preview,bpgen,Generated individual data 1985,,,,p,raw-gen,1985
soep-core-preview,bpkal,Individual calendar 1985,,,,p,raw-gen,1985
soep-core-preview,bpluecke,Data from individual catch-up questionnaire which refers to 1985,,,,p,raw-org/net,1986
soep-core-preview,camces,"Highest Educational Qualification, Migrants Sample M1 and M2",,Computer-Assisted Measurement and Coding of Educational Qualifications in Surveys,,p,tl-gen,0
soep-core-preview,ch,Data from household questionnaires 1986,,,,h,raw-org/net,1986
soep-core-preview,chbrutto,Gross household data 1986,,,,h,raw-org/gross,1986
soep-core-preview,chgen,Generated Household Data 1986,,,,h,raw-gen,1986
soep-core-preview,cirdef,Random groups,,,,h,raw-survey,0
soep-core-preview,ckind,Data on children from household questionnaire 1986,,,,p,raw-org/net,1986
soep-core-preview,cog_refu,Data on cognitive tests (Refugees),,,,p,tl-gen,0
soep-core-preview,cogdj,Data on cognitive tests (Youth),,,,p,tl-gen,0
soep-core-preview,cognit,Data on cognitive potential,,,,p,tl-gen,0
soep-core-preview,cp,Data from individual questionnaires 1986,,,,p,raw-org/net,1986
soep-core-preview,cpausl,Migrant specific questions from individual questionnaire 1986,,,,p,raw-org/net,1986
soep-core-preview,cpbrutto,Gross individual data 1986,,,,p,raw-org/gross,1986
soep-core-preview,cpequiv,Cross-national equivalent file 1986,,,,p,raw-gen,1986
soep-core-preview,cpgen,Generated individual data 1986,,,,p,raw-gen,1986
soep-core-preview,cpkal,Individual calendar 1986,,,,p,raw-gen,1986
soep-core-preview,cpluecke,Data from individual catch-up questionnaire which refers to 1986,,,,p,raw-org/net,1987
soep-core-preview,D-File,,,,,,eu-silc-clone,0
soep-core-preview,ddr18,,,,,p,raw-org/net,2018
soep-core-preview,design,Survey design,,,,h,tl-survey,0
soep-core-preview,dh,Data from household questionnaires 1987,,,,h,raw-org/net,1987
soep-core-preview,dhbrutto,Gross household data 1987,,,,h,raw-org/gross,1987
soep-core-preview,dhgen,Generated Household Data 1987,,,,h,raw-gen,1987
soep-core-preview,dkind,Data on children from household questionnaire 1987,,,,p,raw-org/net,1987
soep-core-preview,dp,Data from individual questionnaires 1987,,,,p,raw-org/net,1987
soep-core-preview,dpausl,Migrant specific questions from individual questionnaire 1987,,,,p,raw-org/net,1987
soep-core-preview,dpbrutto,Gross individual data 1987,,,,p,raw-org/gross,1987
soep-core-preview,dpequiv,Cross-national equivalent file 1987,,,,p,raw-gen,1987
soep-core-preview,dpgen,Generated individual data 1987,,,,p,raw-gen,1987
soep-core-preview,dpkal,Individual calendar 1987,,,,p,raw-gen,1987
soep-core-preview,dpluecke,Data from individual catch-up questionnaire which refers to 1987,,,,p,raw-org/net,1988
soep-core-preview,eh,Data from household questionnaires 1988,,,,h,raw-org/net,1988
soep-core-preview,ehbrutto,Gross household data 1988,,,,h,raw-org/gross,1988
soep-core-preview,ehgen,Generated Household Data 1988,,,,h,raw-gen,1988
soep-core-preview,einkalen,[deprecated] Spell data on income,,,,p,raw-spell,0
soep-core-preview,ekind,Data on children from household questionnaire 1988,,,,p,raw-org/net,1988
soep-core-preview,ep,Data from individual questionnaires 1988,,,,p,raw-org/net,1988
soep-core-preview,epausl,Migrant specific questions from individual questionnaire 1988,,,,p,raw-org/net,1988
soep-core-preview,epbrutto,Gross individual data 1988,,,,p,raw-org/gross,1988
soep-core-preview,epequiv,Cross-national equivalent file 1988,,,,p,raw-gen,1988
soep-core-preview,epgen,Generated individual data 1988,,,,p,raw-gen,1988
soep-core-preview,epkal,Individual calendar 1988,,,,p,raw-gen,1988
soep-core-preview,epluecke,Data from individual catch-up questionnaire which refers to 1988,,,,p,raw-org/net,1989
soep-core-preview,ev,First wealth module,,,,p,raw-org/net,1988
soep-core-preview,exit,Cumulative drop-outs,,,,p,raw-survey,0
soep-core-preview,fh,Data from household questionnaires 1989,,,,h,raw-org/net,1989
soep-core-preview,fhbrutto,Gross household data 1989,,,,h,raw-org/gross,1989
soep-core-preview,fhgen,Generated Household Data 1989,,,,h,raw-gen,1989
soep-core-preview,fkind,Data on children from household questionnaire 1989,,,,p,raw-org/net,1989
soep-core-preview,fp,Data from individual questionnaires 1989,,,,p,raw-org/net,1989
soep-core-preview,fpausl,Migrant specific questions from individual questionnaire 1989,,,,p,raw-org/net,1989
soep-core-preview,fpbrutto,Gross individual data 1989,,,,p,raw-org/gross,1989
soep-core-preview,fpequiv,Cross-national equivalent file 1989,,,,p,raw-gen,1989
soep-core-preview,fpgen,Generated individual data 1989,,,,p,raw-gen,1989
soep-core-preview,fpkal,Individual calendar 1989,,,,p,raw-gen,1989
soep-core-preview,fpluecke,Data from individual catch-up questionnaire which refers to 1989,,,,p,raw-org/net,1990
soep-core-preview,ggkbou,,,,,,raw-gen,0
soep-core-preview,gh,Data from household questionnaires 1990,,,,h,raw-org/net,1990
soep-core-preview,ghbrutto,Gross household data 1990,,,,h,raw-org/gross,1990
soep-core-preview,ghgen,Generated Household Data 1990,,,,h,raw-gen,1990
soep-core-preview,ghost,Data from east specific questions in household questionnaire 1990,,,,h,raw-org/net,1990
soep-core-preview,gkind,Data on children from household questionnaire 1990,,,,p,raw-org/net,1990
soep-core-preview,gp,Data from individual questionnaires 1990,,,,p,raw-org/net,1990
soep-core-preview,gpausl,Migrant specific questions from individual questionnaire 1990,,,,p,raw-org/net,1990
soep-core-preview,gpbrutto,Gross individual data 1990,,,,p,raw-org/gross,1990
soep-core-preview,gpequiv,Cross-national equivalent file 1990,,,,p,raw-gen,1990
soep-core-preview,gpgen,Generated individual data 1990,,,,p,raw-gen,1990
soep-core-preview,gpkal,Individual calendar 1990,,,,p,raw-gen,1990
soep-core-preview,gpkalost,Individual Calendar (East Germany) 1990,,,,p,raw-gen,1990
soep-core-preview,gpluecke,Data from individual catch-up questionnaire which refers to 1990,,,,p,raw-org/net,1991
soep-core-preview,gpost,Data from east specific questions in indivial questionnaire 1990,,,,p,raw-org/net,1990
soep-core-preview,gripstr,Measured grip strength (left and right hand),,,,p,tl-gen,0
soep-core-preview,H-File,,,,,,eu-silc-clone,0
soep-core-preview,hbrutt,"Original gross population of a sample (first wave, long)",,,,h,tl-org/gross,0
soep-core-preview,hbrutt00,"Original gross population of a sample (first wave, 2000)",,,,h,raw-org/gross,2000
soep-core-preview,hbrutt02,"Original gross population of a sample (first wave, 2002)",,,,h,raw-org/gross,2002
soep-core-preview,hbrutt06,"Original gross population of a sample (first wave, 2006)",,,,h,raw-org/gross,2006
soep-core-preview,hbrutt09,"Original gross population of a sample (first wave, 2009)",,,,h,raw-org/gross,2009
soep-core-preview,hbrutt10,"Original gross population of a sample (first wave, 2010)",,,,h,raw-org/gross,2010
soep-core-preview,hbrutt11,"Original gross population of a sample (first wave, 2011)",,,,h,raw-org/gross,2011
soep-core-preview,hbrutt12,"Original gross population of a sample (first wave, 2012)",,,,h,raw-org/gross,2012
soep-core-preview,hbrutt13,"Original gross population of a sample (first wave, 2013)",,,,h,raw-org/gross,2013
soep-core-preview,hbrutt15,"Original gross population of a sample (first wave, 2015)",,,,h,raw-org/gross,2015
soep-core-preview,hbrutt16,"Original gross population of a sample (first wave, 2016)",,,,h,raw-org/gross,2016
soep-core-preview,hbrutt17,"Original gross population of a sample (first wave, 2017)",,,,h,raw-org/gross,2017
soep-core-preview,hbrutt18,"Original gross population of a sample (first wave, 2018)",,,,,raw-org/gross,2018
soep-core-preview,hbrutt19,"Original gross population of a sample (first wave, 2019)",,,,,raw-org/gross,2019
soep-core-preview,hbrutt84,"Original gross population of a sample (first wave, 1984)",,,,h,raw-org/gross,1984
soep-core-preview,hbrutt98,"Original gross population of a sample (first wave, 1998)",,,,h,raw-org/gross,1998
soep-core-preview,hbrutto,Gross Household Data,,Household level data of gross sample. It is keyed on HID (Household ID) and SYEAR (Survey Year). It contains mostly information from the field process.,,h,tl-org/gross,0
soep-core-preview,hconsum,HH consume module,,,,h,tl-gen,0
soep-core-preview,health,Data on health indicators,,,,p,tl-gen,0
soep-core-preview,hgen,Generated Household Data,,Contains household-level generated data to ensure complete and consitent information over time. It is keyed on HID (Household ID) and SYEAR (Survey Year).,,h,tl-gen,0
soep-core-preview,hh,Data from household questionnaires 1991,,,,h,raw-org/net,1991
soep-core-preview,hhbrutto,Gross household data 1991,,,,h,raw-org/gross,1991
soep-core-preview,hhgen,Generated Household Data 1991,,,,h,raw-gen,1991
soep-core-preview,hhrf,Weighting and staying probabilities,,,,h,raw-survey,0
soep-core-preview,hkind,Data on children from household questionnaire 1991,,,,p,raw-org/net,1991
soep-core-preview,hl,Original Household Data,,Contains household-level data from the annual household questionnaire. It is keyed on HID (Household ID) and SYEAR (Survey Year),,h,tl-org/net,0
soep-core-preview,hp,Data from individual questionnaires 1991,,,,p,raw-org/net,1991
soep-core-preview,hpath,Household Tracking File,,"Multi-wave core information and response status of each household for each year, see also HPFADL",,h,tl-track,0
soep-core-preview,hpathl,Household Tracking File,,"Household core information and response status of each household for each year in long format. It contains one record for each household and year a houshold has been in contact with the SOEP. It is keyed on HID, the wave specific Household ID, and SYEAR, the survey year identifier. It contains the sample membership, the response status for each year, as well as the household weights, see http://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.432034.de/diw_ssp0152_hpfad.pdf.",,h,tl-track,0
soep-core-preview,hpausl,Migrant specific questions from individual questionnaire 1991,,,,p,raw-org/net,1991
soep-core-preview,hpbrutto,Gross individual data 1991,,,,p,raw-org/gross,1991
soep-core-preview,hpequiv,Cross-national equivalent file 1991,,,,p,raw-gen,1991
soep-core-preview,hpfad,Household Tracking File,,,,h,raw-track,0
soep-core-preview,hpgen,Generated individual data 1991,,,,p,raw-gen,1991
soep-core-preview,hpkal,Individual calendar 1991,,,,p,raw-gen,1991
soep-core-preview,hpkalost,Individual Calendar (East Germany) 1991,,,,p,raw-gen,1991
soep-core-preview,hpluecke,Data from individual catch-up questionnaire which refers to 1991,,,,p,raw-org/net,1992
soep-core-preview,hpost,Data from east specific questions in indivial questionnaire 1991,,,,p,raw-org/net,1991
soep-core-preview,hwealth,Wealth module,,,,h,tl-gen,0
soep-core-preview,ih,Data from household questionnaires 1992,,,,h,raw-org/net,1992
soep-core-preview,ihbrutto,Gross household data 1992,,,,h,raw-org/gross,1992
soep-core-preview,ihgen,Generated Household Data 1992,,,,h,raw-gen,1992
soep-core-preview,ikind,Data on children from household questionnaire 1992,,,,p,raw-org/net,1992
soep-core-preview,interviewer,Data about the SOEP Interviewer,,,,p,tl-gen,0
soep-core-preview,ip,Data from individual questionnaires 1992,,,,p,raw-org/net,1992
soep-core-preview,ipausl,Migrant specific questions from individual questionnaire 1992,,,,p,raw-org/net,1992
soep-core-preview,ipbrutto,Gross individual data 1992,,,,p,raw-org/gross,1992
soep-core-preview,ipequiv,Cross-national equivalent file 1992,,,,p,raw-gen,1992
soep-core-preview,ipgen,Generated individual data 1992,,,,p,raw-gen,1992
soep-core-preview,ipkal,Individual calendar 1992,,,,p,raw-gen,1992
soep-core-preview,ipluecke,Data from individual catch-up questionnaire which refers to 1992,,,,p,raw-org/net,1993
soep-core-preview,jh,Data from household questionnaires 1993,,,,h,raw-org/net,1993
soep-core-preview,jhbrutto,Gross household data 1993,,,,h,raw-org/gross,1993
soep-core-preview,jhgen,Generated Household Data 1993,,,,h,raw-gen,1993
soep-core-preview,jkind,Data on children from household questionnaire 1993,,,,p,raw-org/net,1993
soep-core-preview,jp,Data from individual questionnaires 1993,,,,p,raw-org/net,1993
soep-core-preview,jpausl,Migrant specific questions from individual questionnaire 1993,,,,p,raw-org/net,1993
soep-core-preview,jpbrutto,Gross individual data 1993,,,,p,raw-org/gross,1993
soep-core-preview,jpequiv,Cross-national equivalent file 1993,,,,p,raw-gen,1993
soep-core-preview,jpgen,Generated individual data 1993,,,,p,raw-gen,1993
soep-core-preview,jpkal,Individual calendar 1993,,,,p,raw-gen,1993
soep-core-preview,jpluecke,Data from individual catch-up questionnaire which refers to 1993,,,,p,raw-org/net,1994
soep-core-preview,jugendl,Youth questionnaire,,,,p,tl-org/net,0
soep-core-preview,kh,Data from household questionnaires 1994,,,,h,raw-org/net,1994
soep-core-preview,khbrutto,Gross household data 1994,,,,h,raw-org/gross,1994
soep-core-preview,khgen,Generated Household Data 1994,,,,h,raw-gen,1994
soep-core-preview,kidlong,Data on children,,,,p,tl-org/net,0
soep-core-preview,kkind,Data on children from household questionnaire 1994,,,,p,raw-org/net,1994
soep-core-preview,kp,Data from individual questionnaires 1994,,,,p,raw-org/net,1994
soep-core-preview,kpausl,Migrant specific questions from individual questionnaire 1994,,,,p,raw-org/net,1994
soep-core-preview,kpbrutto,Gross individual data 1994,,,,p,raw-org/gross,1994
soep-core-preview,kpequiv,Cross-national equivalent file 1994,,,,p,raw-gen,1994
soep-core-preview,kpgen,Generated individual data 1994,,,,p,raw-gen,1994
soep-core-preview,kpkal,Individual calendar 1994,,,,p,raw-gen,1994
