origin_study_name,origin_dataset_name,origin_variable_name,target_study_name,target_dataset_name,target_variable_name
soep-core-preview,akind,ahhgr,soep-core-preview,kidlong,k_size
soep-core-preview,akind,ak0701,soep-core-preview,kidlong,k_nrinhh
soep-core-preview,akind,ak0703,soep-core-preview,kidlong,ks_pre_v1
soep-core-preview,akind,ak0704,soep-core-preview,kidlong,ks_gen_v1
soep-core-preview,akind,ak0704,soep-core-preview,kidlong,ks_gen_h
soep-core-preview,akind,ak0705,soep-core-preview,kidlong,ks_vocat
soep-core-preview,akind,ak0706,soep-core-preview,kidlong,ks_none_v1
soep-core-preview,akind,ak0706,soep-core-preview,kidlong,ks_none_h
soep-core-preview,akind,ak07a,soep-core-preview,kidlong,k_nat
soep-core-preview,akind,akgeburt,soep-core-preview,kidlong,k_birthy_v1
soep-core-preview,akind,akgeburt,soep-core-preview,kidlong,k_birthy_h
soep-core-preview,akind,akhv,soep-core-preview,kidlong,k_phead
soep-core-preview,akind,akhvp,soep-core-preview,kidlong,k_pheadp
soep-core-preview,akind,akinhh,soep-core-preview,kidlong,k_inhh
soep-core-preview,akind,akmup,soep-core-preview,kidlong,k_pmump
soep-core-preview,akind,akmutti,soep-core-preview,kidlong,k_pmum
soep-core-preview,akind,aksex,soep-core-preview,kidlong,k_sex
soep-core-preview,akind,akstell,soep-core-preview,kidlong,k_rel_v1
soep-core-preview,akind,akstell,soep-core-preview,kidlong,k_rel_h
soep-core-preview,akind,akzahl,soep-core-preview,kidlong,k_nrkid
soep-core-preview,akind,hhnr,soep-core-preview,kidlong,cid
soep-core-preview,akind,hhnrakt,soep-core-preview,kidlong,hid
soep-core-preview,akind,persnr,soep-core-preview,kidlong,pid
soep-core-preview,akind,syear,soep-core-preview,kidlong,syear
soep-core-preview,ap,ap13_isco88,soep-core-preview,pl,p_isco88_lastjob
soep-core-preview,ap,ap13_kldb92,soep-core-preview,pl,p_kldb_lastjob
soep-core-preview,ap,ap36a,soep-core-preview,pl,pab0001_v1
soep-core-preview,ap,ap36b,soep-core-preview,pl,pab0001_v2
soep-core-preview,ap,ap36c,soep-core-preview,pl,pab0015
soep-core-preview,ap,ap36d,soep-core-preview,pl,pab0004
soep-core-preview,ap,ap36e,soep-core-preview,pl,pab0005
soep-core-preview,ap,ap36g,soep-core-preview,pl,pab0013
soep-core-preview,ap,ap36h,soep-core-preview,pl,pab0007
soep-core-preview,ap,ap36i,soep-core-preview,pl,pab0008
soep-core-preview,ap,ap36j,soep-core-preview,pl,pab0012
soep-core-preview,ap,ap37a,soep-core-preview,pl,pab0028
soep-core-preview,ap,ap37b,soep-core-preview,pl,pab0029
soep-core-preview,ap,ap37c,soep-core-preview,pl,pab0030
soep-core-preview,ap,ap37d,soep-core-preview,pl,pab0031
soep-core-preview,ap,ap37e,soep-core-preview,pl,pab0032
soep-core-preview,ap,ap37f,soep-core-preview,pl,pab0033
soep-core-preview,ap,ap37g,soep-core-preview,pl,pab0034
soep-core-preview,ap,ap37h,soep-core-preview,pl,pab0035
soep-core-preview,ap,ap37j,soep-core-preview,pl,pab0036
soep-core-preview,ap,ap37k,soep-core-preview,pl,pab0037
soep-core-preview,ap,ap37m,soep-core-preview,pl,pab0038
soep-core-preview,bahbrutto,basocurban,soep-core-preview,hbrutto,socurban
soep-core-preview,bakind,bahhgr,soep-core-preview,kidlong,k_size
soep-core-preview,bakind,bak64,soep-core-preview,kidlong,k_nrinhh
soep-core-preview,bakind,bak6501,soep-core-preview,kidlong,ks_gen_v4
soep-core-preview,bakind,bak6501,soep-core-preview,kidlong,ks_gen_h
soep-core-preview,bakind,bak6502,soep-core-preview,kidlong,ks_none_v2
soep-core-preview,bakind,bak6502,soep-core-preview,kidlong,ks_none_h
soep-core-preview,bakind,bak66,soep-core-preview,kidlong,kd_time_v2
soep-core-preview,bakind,bak66,soep-core-preview,kidlong,kd_time_h
soep-core-preview,bakind,bak6701,soep-core-preview,kidlong,ks_pre_v6
soep-core-preview,bakind,bak6702,soep-core-preview,kidlong,kd_hrs_v1
soep-core-preview,bakind,bak6801,soep-core-preview,kidlong,kc_care_v2
soep-core-preview,bakind,bak6801,soep-core-preview,kidlong,kc_care_h
soep-core-preview,bakind,bak6802,soep-core-preview,kidlong,kc_care_v3
soep-core-preview,bakind,bak6802,soep-core-preview,kidlong,kc_care_h
soep-core-preview,bakind,bak6803,soep-core-preview,kidlong,kc_care_v4
soep-core-preview,bakind,bak6803,soep-core-preview,kidlong,kc_care_h
